"","County","County.Code_16","Deaths_16","Population_16","Crude.Rate_16","Age.Adjusted.Rate_16","County.Code_17","Deaths_17","Population_17","Crude.Rate_17","Age.Adjusted.Rate_17","County.Code","Deaths","Population","Crude.Rate","Age.Adjusted.Rate","avg_rate","deaths2018"
"1","Autauga County, AL",1001,520,55416,"938.357",884.387,1001,528,55504,"951.283",856.997,1001,536,55601,"964.011",834.565,858.649666666667,477.417801163333
"2","Baldwin County, AL",1003,1974,208563,"946.477",716.918,1003,2189,212628,"1029.498",770.137,1003,2357,218022,"1081.084",790.314,759.123,1655.05514706
"3","Barbour County, AL",1005,256,25965,"985.943",800.676,1005,320,25270,"1266.324",986.293,1005,312,24881,"1253.969",954.797,913.922,227.39293282
"4","Bibb County, AL",1007,239,22643,"1055.514",927.671,1007,271,22668,"1195.518",1024.548,1007,276,22400,"1232.143",1033.4,995.206333333333,222.926218666667
"5","Blount County, AL",1009,697,57704,"1207.889",989.37,1009,712,58013,"1227.311",1004.771,1009,689,57840,"1191.217",948.53,980.890333333333,567.3469688
"6","Bullock County, AL",1011,133,10362,"1283.536",1063.013,1011,125,10309,"1212.533",1013.941,1011,112,10138,"1104.754",912.975,996.643,101.03966734
"7","Butler County, AL",1013,275,19998,"1375.138",1013.996,1013,239,19825,"1205.549",897.251,1013,296,19680,"1504.065",1066.319,992.522,195.3283296
"8","Calhoun County, AL",1015,1404,114611,"1225.013",1023.857,1015,1523,114728,"1327.488",1086.334,1015,1590,114277,"1391.356",1118.535,1076.242,1229.89707034
"9","Chambers County, AL",1017,460,33843,"1359.218",1015.773,1017,450,33713,"1334.797",996.888,1017,420,33615,"1249.442",919.187,977.282666666667,328.5135684
"10","Cherokee County, AL",1019,361,25725,"1403.304",1022.322,1019,346,25857,"1338.129",930.497,1019,348,26032,"1336.816",936.697,963.172,250.73293504
"11","Chilton County, AL",1021,475,43941,"1080.995",920.046,1021,520,44067,"1180.021",998.804,1021,510,44153,"1155.074",974.657,964.502333333333,425.856715236667
"12","Choctaw County, AL",1023,180,12993,"1385.361",978.949,1023,177,12945,"1367.323",894.469,1023,191,12841,"1487.423",971.89,948.436,121.78866676
"13","Clarke County, AL",1025,315,24392,"1291.407",942.78,1025,282,24083,"1170.95",842.334,1025,317,23920,"1325.251",956.014,913.709333333333,218.559272533333
"14","Clay County, AL",1027,177,13492,"1311.889",916.944,1027,164,13367,"1226.902",898.012,1027,184,13275,"1386.064",966.426,927.127333333333,123.0761535
"15","Cleburne County, AL",1029,191,14924,"1279.818",971.264,1029,194,14900,"1302.013",982.344,1029,173,14987,"1154.334",830.021,927.876333333333,139.060826076667
"16","Coffee County, AL",1031,508,51226,"991.684",843.297,1031,526,51874,"1013.995",844.06,1031,592,51909,"1140.457",927.543,871.633333333333,452.456147
"17","Colbert County, AL",1033,707,54216,"1304.043",955.832,1033,692,54500,"1269.725",911.804,1033,783,54762,"1429.824",1028.945,965.527,528.74189574
"18","Conecuh County, AL",1035,153,12395,"1234.369",822.671,1035,174,12469,"1395.461",924.143,1035,179,12277,"1458.011",984.113,910.309,111.75863593
"19","Coosa County, AL",1037,160,10581,"1512.144",1167.857,1037,134,10754,"1246.048",841.178,1037,148,10715,"1381.241",894.381,967.805333333333,103.700341466667
"20","Covington County, AL",1039,503,37458,"1342.837",949.821,1039,555,37092,"1496.28",1024.995,1039,574,36986,"1551.939",1026.699,1000.505,370.0467793
"21","Crenshaw County, AL",1041,191,13913,"1372.817",999.73,1041,184,13871,"1326.509",1039.713,1041,178,13824,"1287.616",950.797,996.746666666667,137.7902592
"22","Cullman County, AL",1043,1012,82471,"1227.098",988.898,1043,1057,82755,"1277.264",1022.897,1043,1087,83442,"1302.701",1042.961,1018.252,849.64983384
"23","Dale County, AL",1045,550,49226,"1117.296",952.367,1045,537,49226,"1090.887",912.69,1045,536,48956,"1094.861",901.284,922.113666666667,451.429966653333
"24","Dallas County, AL",1047,571,40008,"1427.215",1184.192,1047,521,39215,"1328.573",1101.822,1047,566,38310,"1477.421",1199.563,1161.859,445.1081829
"25","DeKalb County, AL",1049,792,70900,"1117.066",974.632,1049,815,71617,"1137.998",964.578,1049,844,71385,"1182.321",980.712,973.307333333333,694.7954399
"26","Elmore County, AL",1051,799,81799,"976.785",917.538,1051,816,81677,"999.057",948.061,1051,811,81887,"990.389",907.769,924.456,757.00928472
"27","Escambia County, AL",1053,522,37728,"1383.588",1133.88,1053,478,37447,"1276.471",1026.467,1053,473,36748,"1287.145",1012.222,1057.523,388.61855204
"28","Etowah County, AL",1055,1389,102564,"1354.276",1070.976,1055,1406,102755,"1368.303",1067.204,1055,1460,102501,"1424.376",1088.549,1075.57633333333,1102.47649743
"29","Fayette County, AL",1057,249,16546,"1504.895",1068.354,1057,237,16468,"1439.155",1015.012,1057,234,16433,"1423.964",1008.737,1030.701,169.37509533
"30","Franklin County, AL",1059,376,31628,"1188.82",1021.861,1059,364,31495,"1155.739",985.106,1059,371,31363,"1182.923",978.207,995.058,312.08004054
"31","Geneva County, AL",1061,379,26614,"1424.063",1022.741,1061,364,26421,"1377.692",1010.023,1061,395,26314,"1501.102",1082.11,1038.29133333333,273.215981453333
"32","Greene County, AL",1063,104,8422,"1234.861",885.976,1063,124,8330,"1488.595",994.68,1063,112,8233,"1360.379",898.074,926.243333333333,76.2576136333333
"33","Hale County, AL",1065,189,14952,"1264.045",974.899,1065,209,14812,"1411.018",1075.762,1065,170,14726,"1154.421",864.575,971.745333333333,143.099217786667
"34","Henry County, AL",1067,215,17164,"1252.622",870.828,1067,236,17147,"1376.334",945.931,1067,221,17209,"1284.212",850.836,889.198333333333,153.022141183333
"35","Houston County, AL",1069,1112,104056,"1068.655",887.121,1069,1186,104346,"1136.603",909.722,1069,1133,104722,"1081.912",871.05,889.297666666667,931.290302486667
"36","Jackson County, AL",1071,736,52138,"1411.638",1076.536,1071,714,51909,"1375.484",1037.808,1071,708,51736,"1368.486",997.153,1037.16566666667,536.588029306667
"37","Jefferson County, AL",1073,7137,659521,"1082.149",925.702,1073,7314,659197,"1109.532",947.068,1073,7451,659300,"1130.138",954.534,942.434666666667,6213.47175733333
"38","Lamar County, AL",1075,205,13918,"1472.913",1029.746,1075,216,13946,"1548.831",1079.37,1075,154,13844,"1112.395",772.112,960.409333333333,132.959068106667
"39","Lauderdale County, AL",1077,1161,92318,"1257.61",933.548,1077,1100,92538,"1188.701",871.926,1077,1149,92387,"1243.681",891.874,899.116,830.66629892
"40","Lawrence County, AL",1079,400,33244,"1203.225",1021.832,1079,397,33049,"1201.247",936.185,1079,432,32957,"1310.799",1034.969,997.662,328.79946534
"41","Lee County, AL",1081,1007,158991,"633.369",756.598,1081,1111,161604,"687.483",806.707,1081,1115,163941,"680.123",779.425,780.91,1280.2316631
"42","Limestone County, AL",1083,727,92753,"783.802",738.412,1083,848,94402,"898.286",824.958,1083,890,96174,"925.406",840.305,801.225,770.5701315
"43","Lowndes County, AL",1085,148,10358,"1428.847",1122.924,1085,134,10076,"1329.893",1057.025,1085,140,9974,"1403.649",1052.36,1077.43633333333,107.463499886667
"44","Macon County, AL",1087,259,18963,"1365.818",1045.585,1087,218,18755,"1162.357",886.227,1087,268,18439,"1453.441",1078.013,1003.275,184.99387725
"45","Madison County, AL",1089,3282,356967,"919.413",834.151,1089,3189,361046,"883.267",798.631,1089,3352,366519,"914.55",807.674,813.485333333333,2981.57830888
"46","Marengo County, AL",1091,270,19673,"1372.439",963.869,1091,282,19375,"1455.484",1038.999,1091,301,19066,"1578.727",1155.278,1052.71533333333,200.710705453333
"47","Marion County, AL",1093,388,29998,"1293.42",929.524,1093,419,29833,"1404.485",963.173,1093,423,29763,"1421.228",964.214,952.303666666667,283.43414031
"48","Marshall County, AL",1095,1187,95157,"1247.412",1052.754,1095,1133,95548,"1185.791",992.525,1095,1192,96109,"1240.258",1011.414,1018.89766666667,979.252358456667
"49","Mobile County, AL",1097,4411,414836,"1063.312",944.435,1097,4301,413955,"1039.002",902.295,1097,4493,413757,"1085.903",928.363,925.031,3827.38051467
"50","Monroe County, AL",1099,237,21530,"1100.79",861.85,1099,294,21327,"1378.534",981.79,1099,298,21067,"1414.535",1012.936,952.192,200.59828864
"51","Montgomery County, AL",1101,2150,226349,"949.861",877.608,1101,2157,226646,"951.704",865.365,1101,2102,225763,"931.065",831.094,858.022333333333,1937.09696040333
"52","Morgan County, AL",1103,1318,119012,"1107.451",921.855,1103,1393,118818,"1172.381",962.843,1103,1362,119089,"1143.682",920.505,935.067666666667,1113.56273355667
"53","Perry County, AL",1105,129,9574,"1347.399",1047.353,1105,142,9339,"1520.505",1151.613,1105,116,9140,"1269.147",938.468,1045.81133333333,95.5871558666667
"54","Pickens County, AL",1107,250,20324,"1230.073",953.325,1107,206,20176,"1021.015",758.023,1107,233,19938,"1168.623",868.843,860.063666666667,171.47949386
"55","Pike County, AL",1109,302,33286,"907.288",866.123,1109,337,33267,"1013.016",968.364,1109,321,33338,"962.865",897.53,910.672333333333,303.599942486667
"56","Randolph County, AL",1111,295,22652,"1302.313",912.042,1111,345,22670,"1521.835",1124.263,1111,292,22725,"1284.928",907.067,981.124,222.960429
"57","Russell County, AL",1113,657,58172,"1129.409",1091.571,1113,665,57045,"1165.746",1090.887,1113,595,57781,"1029.75",957.977,1046.81166666667,604.858249116667
"58","St. Clair County, AL",1115,975,88019,"1107.715",999.192,1115,942,88199,"1068.039",942.648,1115,978,88690,"1102.717",955.545,965.795,856.5635855
"59","Shelby County, AL",1117,1490,210622,"707.428",687.63,1117,1471,213605,"688.654",646.442,1117,1551,215707,"719.031",651.354,661.808666666667,1427.56762060667
"60","Sumter County, AL",1119,164,13040,"1257.669",988.971,1119,146,12687,"1150.784",871.774,1119,166,12691,"1308.014",1049,969.915,123.09191265
"61","Talladega County, AL",1121,1018,80103,"1270.864",1042.668,1121,1050,80065,"1311.434",1083.513,1121,1015,79828,"1271.484",1024.191,1050.124,838.29298672
"62","Tallapoosa County, AL",1123,589,40727,"1446.215",1069.157,1123,571,40681,"1403.604",1005.003,1123,534,40497,"1318.616",942.379,1005.513,407.20259961
"63","Tuscaloosa County, AL",1125,1763,206102,"855.402",903.265,1125,1736,207811,"835.374",857.676,1125,1849,208911,"885.066",888.996,883.312333333333,1845.33662869
"64","Walker County, AL",1127,1012,64967,"1557.714",1241.402,1127,1086,64058,"1695.339",1345.49,1127,1028,63711,"1613.536",1268.061,1284.98433333333,818.67636861
"65","Washington County, AL",1129,212,16756,"1265.218",1043.798,1129,183,16531,"1107.011",888.864,1129,189,16378,"1153.987",890.713,941.125,154.1374525
"66","Wilcox County, AL",1131,125,10986,"1137.812",857.151,1131,146,10719,"1362.067",1045.529,1131,170,10627,"1599.699",1212.091,1038.257,110.33557139
"67","Winston County, AL",1133,324,23805,"1361.059",960.968,1133,337,23722,"1420.622",977.015,1133,307,23660,"1297.549",880.409,939.464,222.2771824
"68","Aleutians East Borough, AK",2013,12,3296,"Unreliable",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","Aleutians West Census Area, AK",2016,22,5647,"389.587",594.322,2016,13,5763,"Unreliable",NA,2016,10,5723,"Unreliable",NA,NA,NA
"70","Anchorage Borough, AK",2020,1724,298192,"578.151",717.435,2020,1742,294356,"591.8",707.418,2020,1698,291538,"582.428",679.637,701.496666666667,2045.12935206667
"71","Bethel Census Area, AK",2050,122,17968,"678.985",1146.506,2050,120,18076,"663.864",1009.74,2050,123,18216,"675.231",1093.447,1083.231,197.32135896
"72","Denali Borough, AK",2068,10,1953,"Unreliable",NA,NA,NA,NA,NA,NA,2068,15,2059,"Unreliable",NA,NA,NA
"73","Dillingham Census Area, AK",2070,31,4954,"625.757",849.721,2070,36,4932,"729.927",935.253,2070,36,5000,"720",1055.767,946.913666666667,47.3456833333333
"74","Fairbanks North Star Borough, AK",2090,514,100605,"510.909",721.599,2090,479,99703,"480.427",656.507,2090,471,98971,"475.897",649.57,675.892,668.93707132
"75","Haines Borough, AK",2100,14,2496,"Unreliable",NA,2100,13,2526,"Unreliable",NA,2100,17,2474,"Unreliable",NA,NA,NA
"76","Hoonah-Angoon Census Area, AK",2105,17,2078,"Unreliable",NA,2105,16,2145,"Unreliable",NA,2105,15,2151,"Unreliable",NA,NA,NA
"77","Juneau Borough, AK",2110,203,32468,"625.231",724.327,2110,182,32094,"567.084",628.938,2110,181,32113,"563.635",599.951,651.072,209.07875136
"78","Kenai Peninsula Borough, AK",2122,475,58506,"811.883",755.319,2122,428,58617,"730.164",692.406,2122,508,58533,"867.886",780.768,742.831,434.80126923
"79","Ketchikan Gateway Borough, AK",2130,87,13746,"632.911",629.444,2130,108,13856,"779.446",703.318,2130,98,13918,"704.124",645.23,659.330666666667,91.7656421866667
"80","Kodiak Island Borough, AK",2150,51,13732,"371.395",544.685,2150,64,13448,"475.907",660.412,2150,65,13345,"487.074",628.089,611.062,81.5462239
"81","Lake and Peninsula Borough, AK",2164,17,1562,"Unreliable",NA,2164,12,1620,"Unreliable",NA,NA,NA,NA,NA,NA,NA,NA
"82","Matanuska-Susitna Borough, AK",2170,608,104365,"582.571",766.866,2170,597,106532,"560.395",684.221,2170,619,107610,"575.225",687.024,712.703666666667,766.9404157
"83","Nome Census Area, AK",2180,88,9917,"887.365",1333.579,2180,80,9921,"806.37",1373.214,2180,65,10008,"649.48",1102.718,1269.837,127.08528696
"84","North Slope Borough, AK",2185,61,9606,"635.02",1151.843,2185,47,9782,"480.474",841.939,2185,46,9872,"465.964",642.459,878.747,86.74990384
"85","Northwest Arctic Borough, AK",2188,56,7673,"729.832",1064.176,2188,53,7684,"689.745",880.085,2188,64,7671,"834.311",1157.077,1033.77933333333,79.30121266
"86","Petersburg Borough/Census Area, AK",2195,23,3149,"730.391",803.413,2195,24,3281,"731.484",679.894,2195,24,3221,"745.11",612.419,698.575333333333,22.5011114866667
"87","Prince of Wales-Hyder Census Area, AK",2198,63,6347,"992.595",1554.051,2198,62,6443,"962.285",1049.272,2198,51,6422,"794.145",753.185,1118.836,71.85164792
"88","Sitka Borough, AK",2220,57,8830,"645.527",594.356,2220,59,8689,"679.019",614.631,2220,70,8647,"809.529",683.69,630.892333333333,54.5532600633333
"89","Southeast Fairbanks Census Area, AK",2240,47,6876,"683.537",777.978,2240,48,6888,"696.864",755.848,2240,42,6918,"607.112",671.061,734.962333333333,50.84469422
"90","Valdez-Cordova Census Area, AK",2261,54,9355,"577.231",718.022,2261,46,9278,"495.797",621.905,2261,68,9164,"742.034",809.311,716.412666666667,65.6520567733333
"91","Wade Hampton Census Area, AK",2270,54,8049,"670.891",1113.058,2270,70,8202,"853.45",1599.717,2270,56,8303,"674.455",1186.774,1299.84966666667,107.926517823333
"92","Wrangell City and Borough, AK",2275,16,2411,"Unreliable",NA,2275,24,2521,"952.003",688.873,2275,25,2503,"998.801",846.373,NA,NA
"93","Yukon-Koyukuk Census Area, AK",2290,55,5526,"995.295",873.605,2290,58,5365,"1081.081",1143.396,2290,53,5327,"994.931",1009.596,1008.86566666667,53.7422740633333
"94","Apache County, AZ",4001,681,73112,"931.448",931.91,4001,741,71606,"1034.829",996.319,4001,694,71818,"966.332",913.613,947.280666666667,680.318029186667
"95","Cochise County, AZ",4003,1348,125770,"1071.798",747.737,4003,1349,124756,"1081.311",746.337,4003,1361,126770,"1073.598",723.529,739.201,937.0851077
"96","Coconino County, AZ",4005,852,140908,"604.65",682.37,4005,877,140776,"622.976",732.545,4005,879,142854,"615.314",689.1,701.338333333333,1001.8898627
"97","Gila County, AZ",4007,835,53556,"1559.116",963.398,4007,724,53501,"1353.246",850.868,4007,762,53889,"1414.018",888.925,901.063666666667,485.57419933
"98","Graham County, AZ",4009,279,37599,"742.041",764.06,4009,308,37466,"822.079",799.734,4009,335,38072,"879.912",843.147,802.313666666667,305.456859173333
"99","Greenlee County, AZ",4011,52,9613,"540.934",564.187,4011,65,9455,"687.467",657.996,4011,66,9483,"695.982",644.619,622.267333333333,59.00961122
"100","La Paz County, AZ",4012,272,20317,"1338.78",791.426,4012,330,20601,"1601.864",822.462,4012,316,21098,"1497.772",865.114,826.334,174.33994732
"101","Maricopa County, AZ",4013,30748,4242997,"724.676",657.387,4013,31326,4307033,"727.322",659.497,4013,32260,4410824,"731.383",651.947,656.277,28947.22342248
"102","Mohave County, AZ",4015,3250,205249,"1583.443",910.051,4015,3298,207200,"1591.699",885.106,4015,3431,209550,"1637.318",877.162,890.773,1866.6148215
"103","Navajo County, AZ",4017,1016,110026,"923.418",836.75,4017,1075,108956,"986.637",881.034,4017,1140,110445,"1032.188",910.152,875.978666666667,967.4746384
"104","Pima County, AZ",4019,9508,1016206,"935.637",691.26,4019,9584,1022769,"937.064",692.371,4019,9853,1039073,"948.249",691.506,691.712333333333,7187.39609333667
"105","Pinal County, AZ",4021,3023,418540,"722.273",582.17,4021,3137,430237,"729.133",589.601,4021,3154,447138,"705.375",553.715,575.162,2571.76786356
"106","Santa Cruz County, AZ",4023,303,45985,"658.911",540.989,4023,297,46212,"642.69",534.224,4023,278,46511,"597.708",478.098,517.770333333333,240.820159736667
"107","Yavapai County, AZ",4025,2968,225562,"1315.824",713.436,4025,3133,228168,"1373.111",746.278,4025,3122,231993,"1345.73",704.605,721.439666666667,1673.68952589
"108","Yuma County, AZ",4027,1510,205631,"734.325",565.223,4027,1514,207534,"729.519",549.62,4027,1631,212128,"768.875",580.768,565.203666666667,1198.95523402667
"109","Arkansas County, AR",5001,250,18214,"1372.571",1017.576,5001,244,17967,"1358.045",1001.917,5001,249,17769,"1401.317",1004.341,1007.94466666667,179.10168782
"110","Ashley County, AR",5003,262,20492,"1278.548",977.753,5003,264,20283,"1301.583",975.453,5003,262,20046,"1306.994",938.004,963.736666666667,193.1906522
"111","Baxter County, AR",5005,700,41062,"1704.739",852.2,5005,662,41355,"1600.774",790.663,5005,686,41619,"1648.286",835.384,826.082333333333,343.80720631
"112","Benton County, AR",5007,1758,258291,"680.628",686.701,5007,1832,266300,"687.946",685.558,5007,1956,272608,"717.514",706.475,692.911333333333,1888.93172757333
"113","Boone County, AR",5009,461,37304,"1235.792",845.9,5009,437,37381,"1169.043",833.979,5009,452,37480,"1205.977",842.854,840.911,315.1734428
"114","Bradley County, AR",5011,144,10996,"1309.567",937.391,5011,173,10864,"1592.415",1157.815,5011,144,10897,"1321.465",959.336,1018.18066666667,110.951147246667
"115","Calhoun County, AR",5013,70,5144,"1360.809",907.256,5013,85,5247,"1619.973",1123.528,5013,70,5277,"1326.511",866.635,965.806333333333,50.96560021
"116","Carroll County, AR",5015,315,27646,"1139.405",814.97,5015,339,27944,"1213.141",832.26,5015,338,28223,"1197.605",835.381,827.537,233.55576751
"117","Chicot County, AR",5017,148,10945,"1352.216",932.55,5017,152,10636,"1429.109",1033.289,5017,148,10438,"1417.896",963.018,976.285666666667,101.904697886667
"118","Clark County, AR",5019,260,22657,"1147.548",966.267,5019,229,22293,"1027.228",857.135,5019,242,22061,"1096.958",921.807,915.069666666667,201.873519163333
"119","Clay County, AR",5021,245,14920,"1642.091",1074.876,5021,258,14920,"1729.223",1172.949,5021,239,14847,"1609.753",1079.266,1109.03033333333,164.65773359
"120","Cleburne County, AR",5023,391,25264,"1547.657",896.364,5023,374,25048,"1493.133",837.971,5023,387,24965,"1550.17",886.202,873.512333333333,218.072354016667
"121","Cleveland County, AR",5025,120,8241,"1456.134",1142.479,5025,106,8202,"1292.368",936.619,5025,99,8018,"1234.722",873.93,984.342666666667,78.9245950133333
"122","Columbia County, AR",5027,312,23901,"1305.385",1000.405,5027,294,23627,"1244.339",948.639,5027,272,23537,"1155.627",891.728,946.924,222.87750188
"123","Conway County, AR",5029,273,20937,"1303.912",923.835,5029,297,20916,"1419.966",1009.866,5029,265,20891,"1268.489",886.535,940.078666666667,196.391834253333
"124","Craighead County, AR",5031,944,105835,"891.954",876.841,5031,957,107115,"893.432",866.599,5031,958,108558,"882.478",841.169,861.536333333333,935.26661274
"125","Crawford County, AR",5033,648,62267,"1040.68",898.987,5033,640,62996,"1015.938",869.337,5033,622,63406,"980.98",816.107,861.477,546.22810662
"126","Crittenden County, AR",5035,515,49235,"1046.004",1044.092,5035,545,48750,"1117.949",1064.03,5035,519,48342,"1073.601",1016.9,1041.674,503.56604508
"127","Cross County, AR",5037,244,17037,"1432.177",1103.842,5037,229,16863,"1358.003",1045.99,5037,254,16676,"1523.147",1142.578,1097.47,183.0140972
"128","Dallas County, AR",5039,125,7469,"1673.584",1090.611,5039,109,7393,"1474.368",953.825,5039,109,7182,"1517.683",905.28,983.238666666667,70.61620104
"129","Desha County, AR",5041,163,11876,"1372.516",1083.912,5041,161,11764,"1368.582",1074.993,5041,179,11512,"1554.899",1195.542,1118.149,128.72131288
"130","Drew County, AR",5043,230,18651,"1233.178",994.057,5043,208,18547,"1121.475",901.237,5043,214,18328,"1167.612",927.391,940.895,172.4472356
"131","Faulkner County, AR",5045,976,122227,"798.514",895.387,5045,957,123654,"773.934",856.828,5045,1040,124806,"833.293",883.913,878.709333333333,1096.68197056
"132","Franklin County, AR",5047,255,17626,"1446.726",1103.269,5047,202,17890,"1129.122",820.434,5047,226,17810,"1268.95",946.163,956.622,170.3743782
"133","Fulton County, AR",5049,151,12123,"1245.566",722.208,5049,215,12055,"1783.492",1140.64,5049,171,12269,"1393.757",788.561,883.803,108.43379007
"134","Garland County, AR",5051,1379,97477,"1414.693",950.273,5051,1461,98658,"1480.873",944.034,5051,1409,99154,"1421.022",894.055,929.454,921.59081916
"135","Grant County, AR",5053,221,18082,"1222.21",993.588,5053,188,18165,"1034.957",829.58,5053,187,18188,"1028.15",792.644,871.937333333333,158.587962186667
"136","Greene County, AR",5055,490,44598,"1098.704",994.114,5055,517,45053,"1147.537",1016.132,5055,499,45325,"1100.938",942.476,984.240666666667,446.107082166667
"137","Hempstead County, AR",5057,226,21974,"1028.488",804.062,5057,256,21861,"1171.035",901.587,5057,269,21741,"1237.294",938.315,881.321333333333,191.60807108
"138","Hot Spring County, AR",5059,433,33374,"1297.417",1012.229,5059,443,33574,"1319.473",1028.215,5059,438,33701,"1299.665",989.934,1010.126,340.42256326
"139","Howard County, AR",5061,155,13377,"1158.705",897.204,5061,186,13478,"1380.027",1100.054,5061,167,13341,"1251.78",936.544,977.934,130.46617494
"140","Independence County, AR",5063,434,37168,"1167.671",915.796,5063,401,37504,"1069.219",853.148,5063,418,37678,"1109.401",872.735,880.559666666667,331.777271206667
"141","Izard County, AR",5065,182,13433,"1354.872",809.709,5065,215,13686,"1570.948",941.207,5065,210,13593,"1544.913",917.67,889.528666666667,120.91363166
"142","Jackson County, AR",5067,238,17221,"1382.034",1120.181,5067,246,17135,"1435.658",1131.413,5067,233,16811,"1385.997",1066.62,1106.07133333333,185.941651846667
"143","Jefferson County, AR",5069,859,70016,"1226.862",1044.007,5069,857,69115,"1239.962",1023.966,5069,813,68114,"1193.587",970.839,1012.93733333333,689.952135226667
"144","Johnson County, AR",5071,258,26176,"985.636",847.824,5071,291,26552,"1095.963",939.141,5071,271,26742,"1013.387",845.223,877.396,234.63323832
"145","Lafayette County, AR",5073,109,6847,"1591.938",1060.025,5073,97,6862,"1413.582",841.521,5073,101,6682,"1511.523",902.994,934.846666666667,62.4664542666667
"146","Lawrence County, AR",5075,260,16735,"1553.63",1089.347,5075,264,16525,"1597.579",1122.255,5075,225,16434,"1369.113",977.154,1062.91866666667,174.68005368
"147","Lee County, AR",5077,107,9310,"1149.302",857.963,5077,119,9176,"1296.861",967.982,5077,114,8985,"1268.781",909.977,911.974,81.9408639
"148","Lincoln County, AR",5079,142,13705,"1036.118",930.117,5079,167,13646,"1223.802",1060.321,5079,153,13383,"1143.241",973.46,987.966,132.21948978
"149","Little River County, AR",5081,184,12451,"1477.793",1105.762,5081,169,12359,"1367.425",950.214,5081,158,12326,"1281.843",906.735,987.570333333333,121.727919286667
"150","Logan County, AR",5083,254,21792,"1165.565",829.952,5083,297,21722,"1367.277",1003.681,5083,280,21737,"1288.126",929.007,920.88,200.1716856
"151","Lonoke County, AR",5085,701,72228,"970.538",985.392,5085,702,72898,"962.989",989.27,5085,673,73657,"913.695",919.205,964.622333333333,710.511872063333
"152","Madison County, AR",5087,192,16072,"1194.624",958,5087,204,16339,"1248.546",991.442,5087,217,16481,"1316.668",1011.225,986.889,162.64917609
"153","Marion County, AR",5089,258,16325,"1580.398",920.863,5089,283,16428,"1722.669",1000.147,5089,269,16722,"1608.659",937.112,952.707333333333,159.31172028
"154","Miller County, AR",5091,522,43787,"1192.135",1028.444,5091,499,43984,"1134.503",951.633,5091,533,43592,"1222.701",993.013,991.03,432.0097976
"155","Mississippi County, AR",5093,514,42835,"1199.953",1116.106,5093,558,42159,"1323.561",1212.113,5093,501,41239,"1214.869",1102.816,1143.67833333333,471.641507883333
"156","Monroe County, AR",5095,143,7169,"1994.699",1323.578,5095,125,7085,"1764.291",1209.381,5095,127,6900,"1840.58",1199.753,1244.23733333333,85.852376
"157","Montgomery County, AR",5097,154,8879,"1734.43",962.792,5097,133,8919,"1491.199",811.997,5097,125,8924,"1400.717",754.658,843.149,75.24261676
"158","Nevada County, AR",5099,130,8398,"1547.988",1079.271,5099,116,8327,"1393.059",919.858,5099,108,8326,"1297.141",872.586,957.238333333333,79.6996636333333
"159","Newton County, AR",5101,81,7936,"1020.665",668.247,5101,111,7828,"1417.987",879.097,5101,99,7805,"1268.418",807.199,784.847666666667,61.2573603833333
"160","Ouachita County, AR",5103,345,24098,"1431.654",1019.578,5103,348,23868,"1458.019",1012.993,5103,333,23606,"1410.658",958.996,997.189,235.39643534
"161","Perry County, AR",5105,131,10132,"1292.933",987.235,5105,125,10348,"1207.963",877.647,5105,116,10352,"1120.556",780.416,881.766,91.28041632
"162","Phillips County, AR",5107,254,18975,"1338.603",1101.119,5107,249,18572,"1340.728",1051.615,5107,263,18029,"1458.761",1148.639,1100.45766666667,198.401512723333
"163","Pike County, AR",5109,113,10832,"1043.205",784.645,5109,139,10726,"1295.916",915.316,5109,154,10673,"1442.893",1028.384,909.448333333333,97.0654206166667
"164","Poinsett County, AR",5111,348,24023,"1448.612",1176.641,5111,340,24154,"1407.634",1145.714,5111,345,23974,"1439.059",1171.551,1164.63533333333,279.209674813333
"165","Polk County, AR",5113,243,20173,"1204.58",828.597,5113,275,20118,"1366.935",909.49,5113,283,20049,"1411.542",920.196,886.094333333333,177.65305289
"166","Pope County, AR",5115,587,63779,"920.366",851.73,5115,631,63835,"988.486",861.254,5115,634,64000,"990.625",859.216,857.4,548.736
"167","Prairie County, AR",5117,105,8251,"1272.573",823.898,5117,106,8248,"1285.16",772.239,5117,125,8074,"1548.179",959.716,851.951,68.78652374
"168","Pulaski County, AR",5119,3663,393250,"931.469",839.269,5119,3800,393956,"964.575",859.509,5119,3840,392680,"977.895",859.434,852.737333333333,3348.52896053333
"169","Randolph County, AR",5121,230,17448,"1318.203",914.307,5121,283,17557,"1611.893",1124.107,5121,240,17948,"1337.196",965.103,1001.17233333333,179.690410386667
"170","St. Francis County, AR",5123,282,26196,"1076.5",971.262,5123,260,25930,"1002.7",864.528,5123,279,25439,"1096.741",937.034,924.274666666667,235.126232453333
"171","Saline County, AR",5125,1104,118703,"930.052",770.134,5125,1189,119323,"996.455",849.271,5125,1187,121421,"977.59",799.083,806.162666666667,978.850771493333
"172","Scott County, AR",5127,148,10277,"1440.109",1113.181,5127,133,10445,"1273.337",888.226,5127,129,10319,"1250.121",928.984,976.797,100.79568243
"173","Searcy County, AR",5129,133,7967,"1669.386",1033.008,5129,111,7938,"1398.337",831.526,5129,117,7958,"1470.219",885.551,916.695,72.9505881
